Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years
REG100127,27-10-2021,2021,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Honda,Petrol,BS6,400,2,3
REG100128,09-08-2022,2022,Karnataka,Kozhikode (KL-11),2W,Moped,Ather,Petrol,BS6,110,2,2
REG100129,19-08-2024,2024,Karnataka,Thiruvananthapuram (KL-01),LCV,Light Bus,Eicher,EV,BS6,0,12,0
REG100130,11-05-2022,2022,Karnataka,Udaipur (RJ-27),2W,Moped,Honda,Petrol,BS6,200,2,2
REG100131,10-07-2019,2019,Karnataka,Salem (TN-30),2W,Motorcycle,Honda,EV,BS6,0,2,5
REG100132,05-08-2021,2021,Karnataka,Hyderabad (TS-09),4W,SUV,Hyundai,Diesel,BS6,800,7,3
REG100133,24-04-2020,2020,Karnataka,Amritsar (PB-02),2W,Moped,Ather,Petrol,BS6,110,2,4
REG100134,15-11-2023,2023,Karnataka,Ajmer (RJ-01),2W,Scooter,Ola Electric,Petrol,BS6,0,2,1
REG100135,07-06-2020,2020,Karnataka,Ujjain (MP-13),2W,Moped,Royal Enfield,Petrol,BS4,200,2,4
REG100136,21-11-2021,2021,Karnataka,Jaipur (RJ-14),2W,Motorcycle,Ola Electric,EV,BS6,0,2,3
REG100137,15-06-2020,2020,Karnataka,Belgaum (KA-22),2W,Scooter,KTM,Petrol,BS6,0,2,4
REG100138,11-02-2022,2022,Karnataka,Chandigarh (CH-01),LCV,Mini Truck,Mahindra,EV,BS6,0,12,2
REG100139,28-02-2020,2020,Karnataka,Jabalpur (MP-20),3W,E-Rickshaw,Mahindra,CNG,BS6,250,6,4
REG100140,22-07-2021,2021,Karnataka,Hubli (KA-25),4W,MUV,Renault,EV,BS6,0,5,3
REG100141,12-09-2021,2021,Karnataka,Delhi West (DL-08),HCV,Bus,Volvo,Diesel,BS6,6700,2,3
REG100142,06-02-2023,2023,Karnataka,Salem (TN-30),4W,Sedan,Renault,CNG,BS6,1968,5,1
REG100143,30-12-2022,2022,Karnataka,Lucknow (UP-32),3W,Auto Rickshaw,TVS,EV,BS6,0,6,2
REG100144,05-07-2022,2022,Karnataka,Mangalore (KA-19),2W,Scooter,TVS,EV,BS6,0,2,2
REG100145,23-06-2019,2019,Karnataka,Lucknow (UP-32),2W,Moped,Suzuki,EV,BS4,0,2,5
REG100146,28-06-2022,2022,Karnataka,Jodhpur (RJ-19),2W,Moped,Honda,EV,BS4,0,2,2
REG100147,01-12-2020,2020,Karnataka,Kochi (KL-07),2W,Motorcycle,Royal Enfield,Petrol,BS6,110,2,4
REG100148,26-11-2023,2023,Karnataka,Salem (TN-30),3W,Tempo,Atul Auto,Diesel,BS6,250,7,1
REG100149,30-10-2021,2021,Karnataka,Jodhpur (RJ-19),2W,Scooter,KTM,EV,BS6,0,2,3
REG100150,09-02-2018,2018,Karnataka,Ajmer (RJ-01),2W,Scooter,KTM,Petrol,BS4,110,2,6
REG100151,22-01-2024,2024,Karnataka,Patiala (PB-11),3W,E-Rickshaw,Atul Auto,EV,BS6,0,7,0
REG100152,22-02-2024,2024,Karnataka,Indore (MP-09),2W,Scooter,Ather,Petrol,BS6,200,2,0
REG100153,26-09-2023,2023,Karnataka,Thiruvananthapuram (KL-01),3W,Auto Rickshaw,Bajaj,CNG,BS6,225,6,1
REG100154,21-06-2023,2023,Karnataka,Kota (RJ-20),2W,Scooter,Ola Electric,Petrol,BS6,110,2,1
REG100155,05-11-2023,2023,Karnataka,Jaipur (RJ-14),4W,MUV,Kia,Petrol,BS6,1197,7,1
REG100156,08-03-2023,2023,Karnataka,Belgaum (KA-22),4W,SUV,Kia,EV,BS6,0,7,1
REG100157,17-12-2023,2023,Karnataka,Karimnagar (TS-01),4W,SUV,Tata Motors,EV,BS6,0,5,1
REG100158,23-06-2020,2020,Karnataka,Jabalpur (MP-20),3W,Auto Rickshaw,TVS,CNG,BS6,0,3,4
REG100159,27-09-2023,2023,Karnataka,Delhi East (DL-02),2W,Scooter,Honda,EV,BS6,0,2,1
REG100160,03-04-2021,2021,Karnataka,Gwalior (MP-07),LCV,Light Bus,Mahindra,CNG,BS6,2956,15,3
REG100161,18-08-2022,2022,Karnataka,Kolkata (WB-01),2W,Moped,Bajaj,EV,BS6,0,2,2
REG100162,14-08-2023,2023,Karnataka,Warangal (TS-03),2W,Scooter,Bajaj,Petrol,BS6,350,2,1
REG100163,09-05-2023,2023,Karnataka,Rajkot (GJ-03),3W,E-Rickshaw,Piaggio,CNG,BS6,200,7,1
REG100164,24-03-2021,2021,Karnataka,Durgapur (WB-40),4W,Hatchback,Renault,Petrol,BS4,1498,8,3
REG100165,31-07-2024,2024,Karnataka,Warangal (TS-03),LCV,Mini Truck,Mahindra,Diesel,BS6,2523,12,0
REG100166,29-11-2018,2018,Karnataka,Nizamabad (TS-05),2W,Motorcycle,Yamaha,Petrol,BS4,200,2,6
REG100167,12-11-2023,2023,Karnataka,Coimbatore (TN-37),2W,Scooter,TVS,Hybrid,BS6,100,2,1
REG100168,26-02-2022,2022,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Ather,CNG,BS6,160,2,2
REG100169,02-02-2023,2023,Karnataka,Delhi West (DL-08),2W,Motorcycle,Suzuki,EV,BS6,0,2,1
REG100170,30-06-2022,2022,Karnataka,Asansol (WB-39),4W,Sedan,Tata Motors,Petrol,BS6,1462,8,2
REG100171,11-10-2022,2022,Karnataka,Chennai Central (TN-01),3W,E-Rickshaw,Bajaj,EV,BS6,0,6,2
REG100172,26-06-2018,2018,Karnataka,Kolkata (WB-01),4W,SUV,Kia,Hybrid,BS4,1462,5,6
REG100173,17-12-2023,2023,Karnataka,Amritsar (PB-02),2W,Scooter,Ather,Petrol,BS6,350,2,1
REG100174,19-01-2023,2023,Karnataka,Thrissur (KL-08),4W,Sedan,Hyundai,EV,BS6,0,6,1
REG100175,31-08-2021,2021,Karnataka,Pune (MH-12),LCV,Pickup Van,Ashok Leyland,Diesel,BS6,3298,9,3
REG100176,12-08-2019,2019,Karnataka,Indore (MP-09),2W,Motorcycle,Yamaha,Petrol,BS4,250,2,5
REG100177,08-07-2022,2022,Karnataka,Thrissur (KL-08),LCV,Pickup Van,Ashok Leyland,Diesel,BS6,3298,9,2
REG100178,10-02-2021,2021,Karnataka,Thrissur (KL-08),2W,Moped,TVS,EV,BS6,0,2,3
REG100179,17-08-2023,2023,Karnataka,Gwalior (MP-07),2W,Moped,Suzuki,Petrol,BS6,100,2,1
REG100180,08-02-2024,2024,Karnataka,Kozhikode (KL-11),4W,MUV,Kia,EV,BS6,0,7,0
REG100181,06-03-2023,2023,Karnataka,Warangal (TS-03),HCV,Bus,Eicher,CNG,BS6,3760,2,1
REG100182,08-07-2020,2020,Karnataka,Gwalior (MP-07),2W,Moped,Hero,EV,BS6,0,2,4
REG100183,28-02-2023,2023,Karnataka,Kolkata (WB-01),4W,SUV,Honda,Diesel,BS6,800,6,1
REG100184,17-08-2023,2023,Karnataka,Asansol (WB-39),2W,Moped,Honda,Petrol,BS6,150,2,1
REG100185,20-08-2019,2019,Karnataka,Amritsar (PB-02),4W,MUV,Mahindra,Petrol,BS4,1197,8,5
REG100186,22-03-2021,2021,Karnataka,Hubli (KA-25),4W,Hatchback,Renault,Diesel,BS6,1197,7,3
REG100187,04-07-2023,2023,Karnataka,Warangal (TS-03),2W,Motorcycle,TVS,Petrol,BS6,400,2,1
REG100188,07-06-2024,2024,Karnataka,Amritsar (PB-02),3W,Tempo,Piaggio,EV,BS6,0,7,0
REG100189,25-11-2019,2019,Karnataka,Thrissur (KL-08),3W,E-Rickshaw,Atul Auto,CNG,BS4,200,6,5
REG100190,10-08-2023,2023,Karnataka,Asansol (WB-39),2W,Moped,Ola Electric,Petrol,BS6,400,2,1
REG100191,26-04-2021,2021,Karnataka,Mumbai Central (MH-01),3W,E-Rickshaw,Piaggio,CNG,BS6,250,7,3
REG100192,11-11-2019,2019,Karnataka,Ahmedabad (GJ-01),2W,Moped,Ather,Petrol,BS4,400,2,5
REG100193,22-06-2023,2023,Karnataka,Belgaum (KA-22),4W,Sedan,Tata Motors,EV,BS6,0,5,1
REG100194,13-11-2023,2023,Karnataka,Bangalore Central (KA-01),HCV,Trailer,MAN,Diesel,BS6,3760,45,1
REG100195,27-07-2023,2023,Karnataka,Ujjain (MP-13),2W,Scooter,KTM,Petrol,BS6,160,2,1
REG100196,24-06-2022,2022,Karnataka,Kolkata (WB-01),4W,Sedan,MG,Diesel,BS6,1197,7,2
REG100197,15-10-2023,2023,Karnataka,Kozhikode (KL-11),4W,SUV,Honda,Petrol,BS6,1000,7,1
REG100198,16-07-2019,2019,Karnataka,Delhi North (DL-04),2W,Scooter,Bajaj,Petrol,BS4,0,2,5
REG100199,23-03-2023,2023,Karnataka,Kanpur (UP-78),HCV,Bus,Volvo,Diesel,BS6,6700,52,1
REG100200,22-08-2024,2024,Karnataka,Siliguri (WB-73),LCV,Pickup Van,Tata Motors,Diesel,BS6,2956,9,0
REG100201,10-12-2024,2024,Karnataka,Amritsar (PB-02),2W,Scooter,KTM,EV,BS6,0,2,0
REG100202,06-07-2024,2024,Karnataka,Gandhinagar (GJ-18),2W,Motorcycle,Suzuki,Petrol,BS6,250,2,0
REG100203,07-02-2021,2021,Karnataka,Jaipur (RJ-14),2W,Moped,Ather,Petrol,BS6,250,2,3
REG100204,19-02-2022,2022,Karnataka,Karimnagar (TS-01),4W,SUV,Skoda,EV,BS6,0,7,2
REG100205,21-01-2022,2022,Karnataka,Ajmer (RJ-01),HCV,Bus,Ashok Leyland,Diesel,BS6,3760,1,2
REG100206,16-06-2024,2024,Karnataka,Madurai (TN-58),4W,MUV,Tata Motors,CNG,BS6,1598,6,0
REG100207,30-09-2022,2022,Karnataka,Allahabad (UP-70),4W,SUV,Skoda,Diesel,BS6,2179,7,2
REG100208,19-12-2022,2022,Karnataka,Kolkata (WB-01),2W,Moped,Honda,Petrol,BS6,100,2,2
REG100209,25-10-2020,2020,Karnataka,Jalandhar (PB-08),2W,Moped,Ola Electric,EV,BS6,0,2,4
REG100210,24-12-2020,2020,Karnataka,Trichy (TN-45),4W,MUV,Tata Motors,EV,BS6,0,6,4
REG100211,09-11-2020,2020,Karnataka,Nashik (MH-15),2W,Motorcycle,Suzuki,CNG,BS6,350,2,4
REG100212,26-09-2024,2024,Karnataka,Thiruvananthapuram (KL-01),4W,Sedan,Renault,Diesel,BS6,1968,7,0
REG100213,15-12-2023,2023,Karnataka,Salem (TN-30),HCV,Trailer,Eicher,Diesel,BS6,5660,52,1
REG100214,27-05-2020,2020,Karnataka,Howrah (WB-13),HCV,Trailer,Eicher,Diesel,BS6,4998,45,4
REG100215,06-10-2019,2019,Karnataka,Udaipur (RJ-27),2W,Moped,Royal Enfield,Petrol,BS4,250,2,5
REG100216,10-02-2021,2021,Karnataka,Agra (UP-80),HCV,Bus,Volvo,Diesel,BS6,5660,45,3
REG100217,23-12-2021,2021,Karnataka,Gwalior (MP-07),4W,Sedan,Mahindra,Diesel,BS6,1498,6,3
REG100218,26-04-2023,2023,Karnataka,Belgaum (KA-22),4W,Sedan,Mahindra,Petrol,BS6,1462,5,1
REG100219,09-10-2023,2023,Karnataka,Mangalore (KA-19),2W,Scooter,Honda,CNG,BS6,125,2,1
REG100220,15-02-2021,2021,Karnataka,Varanasi (UP-65),3W,Auto Rickshaw,TVS,CNG,BS6,225,7,3
REG100221,22-07-2024,2024,Karnataka,Thiruvananthapuram (KL-01),HCV,Bus,BharatBenz,Diesel,BS6,6700,2,0
REG100222,26-05-2022,2022,Karnataka,Kozhikode (KL-11),LCV,Mini Truck,Ashok Leyland,CNG,BS6,0,15,2
REG100223,19-06-2021,2021,Karnataka,Khammam (TS-07),3W,Auto Rickshaw,Atul Auto,Diesel,BS6,225,7,3
REG100224,09-04-2022,2022,Karnataka,Durgapur (WB-40),4W,Hatchback,Toyota,Petrol,BS6,1197,8,2
REG100225,14-06-2024,2024,Karnataka,Allahabad (UP-70),2W,Scooter,Honda,Petrol,BS6,150,2,0
