Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years,CFAR_Category_Adoption_Rate_%,FMI_Fleet_Modernization_Index_%,Is_Transitional_BS4_2020
KA-22-SA-1122,2024-07-22,2024,Karnataka,Belgaum (KA-22),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,0,49.39,91.46,0
KA-22-TA-1139,2023-11-04,2023,Karnataka,Belgaum (KA-22),4W,Sedan,Hyundai,EV,Not Applicable,0.0,5,1,25.89,89.29,0
RJ-01-UA-1156,2023-08-04,2023,Rajasthan,Ajmer (RJ-01),2W,Scooter,Honda,EV,Not Applicable,0.0,2,1,48.41,92.86,0
KA-19-VA-1173,2022-09-26,2022,Karnataka,Mangalore (KA-19),HCV,Tanker,MAN,Diesel,BS6,5660.0,2,2,0.0,96.15,0
TS-01-WA-1190,2021-02-15,2021,Telangana,Karimnagar (TS-01),3W,Tempo,Atul Auto,CNG,BS6,250.0,4,3,81.25,100.0,0
DL-04-XA-1207,2022-04-04,2022,Delhi,Delhi North (DL-04),4W,MUV,Toyota,Petrol,BS6,2179.0,7,2,22.58,88.17,0
RJ-20-YA-1224,2018-02-13,2018,Rajasthan,Kota (RJ-20),2W,Motorcycle,Royal Enfield,EV,Not Applicable,0.0,2,6,48.41,92.86,0
KL-08-ZA-1241,2023-08-18,2023,Kerala,Thrissur (KL-08),3W,Auto Rickshaw,Kinetic Green,EV,Not Applicable,0.0,4,1,84.38,93.75,0
GJ-05-AB-1258,2022-10-11,2022,Gujarat,Surat (GJ-05),2W,Motorcycle,Royal Enfield,EV,Not Applicable,0.0,2,2,41.43,92.86,0
RJ-27-BB-1275,2023-06-06,2023,Rajasthan,Udaipur (RJ-27),OTH,Tractor,John Deere,Diesel,BS6,5660.0,2,1,0.0,100.0,0
KA-09-CB-1292,2023-04-21,2023,Karnataka,Mysore (KA-09),2W,Scooter,Ather,EV,Not Applicable,0.0,2,1,49.39,91.46,0
GJ-18-DB-1309,2024-05-31,2024,Gujarat,Gandhinagar (GJ-18),OTH,Road Roller,Escorts,Diesel,BS6,4998.0,2,0,0.0,100.0,0
TN-58-EB-1326,2018-10-11,2018,Tamil Nadu,Madurai (TN-58),2W,Scooter,TVS,Petrol,BS4,110.9,2,6,44.68,95.74,0
KL-07-FB-1343,2022-09-03,2022,Kerala,Kochi (KL-07),4W,SUV,Hyundai,Petrol,BS6,2179.0,7,2,24.55,90.0,0
TN-01-GB-1360,2021-10-23,2021,Tamil Nadu,Chennai Central (TN-01),2W,Scooter,Honda,Petrol,BS6,100.0,2,3,44.68,95.74,0
TN-37-HB-1377,2019-08-02,2019,Tamil Nadu,Coimbatore (TN-37),4W,SUV,Hyundai,Petrol,BS4,1462.0,7,5,26.26,91.92,0
WB-73-IB-1394,2022-11-09,2022,West Bengal,Siliguri (WB-73),2W,Scooter,Suzuki,Petrol,BS6,111.9,2,2,39.16,92.31,0
DL-02-JB-1411,2020-03-21,2020,Delhi,Delhi East (DL-02),2W,Motorcycle,TVS,Petrol,BS4,100.0,2,4,39.39,90.3,1
UP-65-KB-1428,2020-05-25,2020,Uttar Pradesh,Varanasi (UP-65),4W,MUV,Kia,Petrol,BS6,2179.0,5,4,19.75,88.89,0
MP-09-LB-1445,2022-03-18,2022,Madhya Pradesh,Indore (MP-09),HCV,Bus,BharatBenz,Diesel,BS6,5660.0,32,2,4.76,85.71,0
KA-01-MB-1462,2023-08-14,2023,Karnataka,Bangalore Central (KA-01),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,1,49.39,91.46,0
WB-40-NB-1479,2022-11-03,2022,West Bengal,Durgapur (WB-40),4W,SUV,Renault,Diesel,BS6,800.0,7,2,23.66,84.95,0
KL-11-OB-1496,2024-10-28,2024,Kerala,Kozhikode (KL-11),4W,Hatchback,Hyundai,Petrol,BS6,800.0,5,0,24.55,90.0,0
CH-01-PB-1513,2023-04-03,2023,Chandigarh,Chandigarh (CH-01),4W,SUV,MG,Diesel,BS6,1968.0,5,1,12.5,83.33,0
KA-19-QB-1530,2019-06-18,2019,Karnataka,Mangalore (KA-19),2W,Scooter,Yamaha,Petrol,BS4,250.0,2,5,49.39,91.46,0
KL-08-RB-1547,2022-05-10,2022,Kerala,Thrissur (KL-08),2W,Scooter,Ather,EV,Not Applicable,0.0,2,2,44.63,96.69,0
KA-19-SB-1564,2021-09-23,2021,Karnataka,Mangalore (KA-19),LCV,Mini Truck,Eicher,Diesel,BS6,3298.0,2,3,26.92,88.46,0
WB-73-TB-1581,2019-08-13,2019,West Bengal,Siliguri (WB-73),4W,SUV,Kia,CNG,BS4,2179.0,5,5,23.66,84.95,0
MH-20-UB-1598,2020-02-17,2020,Maharashtra,Aurangabad (MH-20),4W,SUV,Kia,CNG,BS4,1462.0,5,4,28.89,91.11,1
WB-01-VB-1615,2021-05-20,2021,West Bengal,Kolkata (WB-01),4W,SUV,MG,EV,Not Applicable,0.0,5,3,23.66,84.95,0
WB-13-WB-1632,2024-03-11,2024,West Bengal,Howrah (WB-13),3W,Auto Rickshaw,Mahindra,CNG,BS6,200.0,4,0,85.0,100.0,0
UP-80-XB-1649,2023-10-24,2023,Uttar Pradesh,Agra (UP-80),HCV,Trailer,Tata Motors,Diesel,BS6,6700.0,2,1,0.0,85.71,0
WB-39-YB-1666,2022-06-14,2022,West Bengal,Asansol (WB-39),3W,E-Rickshaw,Atul Auto,EV,Not Applicable,0.0,4,2,85.0,100.0,0
DL-09-ZB-1683,2023-07-15,2023,Delhi,Delhi South (DL-09),2W,Scooter,Hero,Petrol,BS6,250.0,2,1,39.39,90.3,0
MP-09-AC-1700,2024-02-21,2024,Madhya Pradesh,Indore (MP-09),3W,Auto Rickshaw,Piaggio,Diesel,BS6,225.0,4,0,79.31,89.66,0
TS-01-BC-1717,2024-08-28,2024,Telangana,Karimnagar (TS-01),2W,Motorcycle,Suzuki,EV,Not Applicable,0.0,2,0,40.8,92.8,0
RJ-01-CC-1734,2024-06-11,2024,Rajasthan,Ajmer (RJ-01),4W,Hatchback,Toyota,EV,Not Applicable,0.0,5,0,26.0,89.0,0
CH-01-DC-1751,2023-02-20,2023,Chandigarh,Chandigarh (CH-01),2W,Motorcycle,Royal Enfield,Petrol,BS6,93.2,2,1,40.62,90.62,0
WB-13-EC-1768,2023-07-03,2023,West Bengal,Howrah (WB-13),4W,Hatchback,Maruti Suzuki,Diesel,BS6,1598.0,5,1,23.66,84.95,0
TN-37-FC-1785,2019-11-14,2019,Tamil Nadu,Coimbatore (TN-37),4W,Sedan,Tata Motors,Petrol,BS4,1462.0,5,5,26.26,91.92,0
PB-10-GC-1802,2020-08-26,2020,Punjab,Ludhiana (PB-10),2W,Motorcycle,Royal Enfield,EV,Not Applicable,0.0,2,4,41.51,90.57,0
MP-13-HC-1819,2021-12-20,2021,Madhya Pradesh,Ujjain (MP-13),2W,Scooter,Yamaha,EV,Not Applicable,0.0,2,3,40.43,85.11,0
WB-40-IC-1836,2020-07-02,2020,West Bengal,Durgapur (WB-40),2W,Motorcycle,KTM,Petrol,BS6,160.0,2,4,39.16,92.31,0
GJ-06-JC-1853,2018-01-26,2018,Gujarat,Vadodara (GJ-06),2W,Scooter,Suzuki,Petrol,BS4,106.6,2,6,41.43,92.86,0
KL-08-KC-1870,2023-11-22,2023,Kerala,Thrissur (KL-08),LCV,Pickup Van,Mahindra,CNG,BS6,2956.0,2,1,32.35,94.12,0
GJ-05-LC-1887,2020-03-09,2020,Gujarat,Surat (GJ-05),4W,SUV,Kia,Diesel,BS4,1000.0,5,4,35.37,95.12,1
RJ-27-MC-1904,2022-03-26,2022,Rajasthan,Udaipur (RJ-27),2W,Scooter,Ather,EV,Not Applicable,0.0,2,2,48.41,92.86,0
WB-40-NC-1921,2024-04-25,2024,West Bengal,Durgapur (WB-40),4W,SUV,Hyundai,Diesel,BS6,1968.0,7,0,23.66,84.95,0
KA-19-OC-1938,2021-12-11,2021,Karnataka,Mangalore (KA-19),2W,Scooter,Honda,EV,Not Applicable,0.0,2,3,49.39,91.46,0
PB-08-PC-1955,2020-11-13,2020,Punjab,Jalandhar (PB-08),4W,SUV,Hyundai,EV,Not Applicable,0.0,7,4,28.17,87.32,0
PB-10-QC-1972,2021-01-25,2021,Punjab,Ludhiana (PB-10),4W,MUV,Kia,EV,Not Applicable,0.0,7,3,28.17,87.32,0
WB-01-RC-1989,2022-12-23,2022,West Bengal,Kolkata (WB-01),2W,Scooter,TVS,Petrol,BS6,105.2,2,2,39.16,92.31,0
UP-70-SC-2006,2019-11-12,2019,Uttar Pradesh,Allahabad (UP-70),4W,Sedan,Honda,Petrol,BS4,1499.4,5,5,19.75,88.89,0
MH-31-TC-2023,2019-07-08,2019,Maharashtra,Nagpur (MH-31),2W,Scooter,Bajaj,Petrol,BS4,114.1,2,5,50.93,95.37,0
MP-07-UC-2040,2024-02-16,2024,Madhya Pradesh,Gwalior (MP-07),2W,Scooter,Bajaj,Petrol,BS6,150.0,2,0,40.43,85.11,0
MP-13-VC-2057,2024-04-15,2024,Madhya Pradesh,Ujjain (MP-13),OTH,Tractor,John Deere,Diesel,BS6,3760.0,2,0,0.0,75.0,0
DL-09-WC-2074,2020-01-02,2020,Delhi,Delhi South (DL-09),2W,Motorcycle,Yamaha,Petrol,BS4,160.0,2,4,39.39,90.3,1
TN-37-XC-2091,2024-01-08,2024,Tamil Nadu,Coimbatore (TN-37),4W,Sedan,Hyundai,EV,Not Applicable,0.0,5,0,26.26,91.92,0
PB-02-YC-2108,2023-02-28,2023,Punjab,Amritsar (PB-02),2W,Scooter,Hero,Petrol,BS6,110.0,2,1,41.51,90.57,0
WB-73-ZC-2125,2020-01-23,2020,West Bengal,Siliguri (WB-73),4W,SUV,MG,Diesel,BS4,1498.0,5,4,23.66,84.95,1
WB-01-AD-2142,2024-01-01,2024,West Bengal,Kolkata (WB-01),2W,Scooter,Suzuki,Petrol,BS6,110.9,2,0,39.16,92.31,0
KA-01-BD-2159,2021-10-27,2021,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Honda,Petrol,BS6,400.0,2,3,49.39,91.46,0
KL-11-CD-2176,2022-08-09,2022,Kerala,Kozhikode (KL-11),2W,Scooter,Ather,EV,Not Applicable,0.0,2,2,44.63,96.69,0
KL-01-DD-2193,2024-08-19,2024,Kerala,Thiruvananthapuram (KL-01),LCV,Light Bus,Eicher,EV,Not Applicable,0.0,12,0,32.35,94.12,0
RJ-27-ED-2210,2022-05-11,2022,Rajasthan,Udaipur (RJ-27),2W,Scooter,Honda,Petrol,BS6,86.1,2,2,48.41,92.86,0
TN-30-FD-2227,2019-07-10,2019,Tamil Nadu,Salem (TN-30),2W,Motorcycle,Honda,EV,Not Applicable,0.0,2,5,44.68,95.74,0
TS-09-GD-2244,2021-08-05,2021,Telangana,Hyderabad (TS-09),4W,SUV,Hyundai,Diesel,BS6,800.0,7,3,25.47,92.45,0
PB-02-HD-2261,2020-04-24,2020,Punjab,Amritsar (PB-02),2W,Scooter,Ather,EV,Not Applicable,0.0,2,4,41.51,90.57,0
RJ-01-ID-2278,2023-11-15,2023,Rajasthan,Ajmer (RJ-01),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,1,48.41,92.86,0
MP-13-JD-2295,2020-06-08,2020,Madhya Pradesh,Ujjain (MP-13),2W,Motorcycle,Royal Enfield,Petrol,BS6,112.7,2,4,40.43,85.11,0
RJ-14-KD-2312,2021-11-22,2021,Rajasthan,Jaipur (RJ-14),2W,Motorcycle,Ola Electric,EV,Not Applicable,0.0,2,3,48.41,92.86,0
KA-22-LD-2329,2020-06-15,2020,Karnataka,Belgaum (KA-22),2W,Motorcycle,KTM,Petrol,BS6,160.0,2,4,49.39,91.46,0
CH-01-MD-2346,2022-02-11,2022,Chandigarh,Chandigarh (CH-01),LCV,Mini Truck,Mahindra,EV,Not Applicable,0.0,2,2,60.0,100.0,0
MP-20-ND-2363,2020-02-28,2020,Madhya Pradesh,Jabalpur (MP-20),3W,E-Rickshaw,Mahindra,EV,Not Applicable,0.0,4,4,79.31,89.66,0
KA-25-OD-2380,2021-07-22,2021,Karnataka,Hubli (KA-25),4W,MUV,Renault,EV,Not Applicable,0.0,5,3,25.89,89.29,0
DL-08-PD-2397,2021-09-13,2021,Delhi,Delhi West (DL-08),HCV,Bus,Volvo,Diesel,BS6,6700.0,32,3,0.0,68.75,0
TN-30-QD-2414,2023-02-06,2023,Tamil Nadu,Salem (TN-30),4W,Sedan,Renault,CNG,BS6,1968.0,5,1,26.26,91.92,0
UP-32-RD-2431,2022-12-30,2022,Uttar Pradesh,Lucknow (UP-32),3W,Auto Rickshaw,TVS,EV,Not Applicable,0.0,4,2,85.71,85.71,0
KA-19-SD-2448,2022-07-05,2022,Karnataka,Mangalore (KA-19),2W,Scooter,TVS,EV,Not Applicable,0.0,2,2,49.39,91.46,0
UP-32-TD-2465,2019-06-24,2019,Uttar Pradesh,Lucknow (UP-32),2W,Moped,Suzuki,EV,Not Applicable,0.0,2,5,47.06,91.91,0
RJ-19-UD-2482,2022-06-28,2022,Rajasthan,Jodhpur (RJ-19),2W,Scooter,Honda,EV,Not Applicable,0.0,2,2,48.41,92.86,0
KL-07-VD-2499,2020-12-01,2020,Kerala,Kochi (KL-07),2W,Motorcycle,Royal Enfield,Petrol,BS6,110.0,2,4,44.63,96.69,0
TN-30-WD-2516,2023-11-27,2023,Tamil Nadu,Salem (TN-30),3W,Tempo,Atul Auto,Diesel,BS6,250.0,4,1,82.14,96.43,0
RJ-19-XD-2533,2021-10-30,2021,Rajasthan,Jodhpur (RJ-19),2W,Motorcycle,KTM,EV,Not Applicable,0.0,2,3,48.41,92.86,0
RJ-01-YD-2550,2018-02-09,2018,Rajasthan,Ajmer (RJ-01),2W,Motorcycle,KTM,Petrol,BS4,110.0,2,6,48.41,92.86,0
PB-11-ZD-2567,2024-01-22,2024,Punjab,Patiala (PB-11),3W,E-Rickshaw,Atul Auto,EV,Not Applicable,0.0,4,0,76.0,92.0,0
MP-09-AE-2584,2024-02-22,2024,Madhya Pradesh,Indore (MP-09),2W,Scooter,Ather,EV,Not Applicable,0.0,2,0,40.43,85.11,0
KL-01-BE-2601,2023-09-26,2023,Kerala,Thiruvananthapuram (KL-01),3W,Auto Rickshaw,Bajaj,CNG,BS6,225.0,4,1,84.38,93.75,0
RJ-20-CE-2618,2023-06-21,2023,Rajasthan,Kota (RJ-20),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,1,48.41,92.86,0
RJ-14-DE-2635,2023-11-06,2023,Rajasthan,Jaipur (RJ-14),4W,MUV,Kia,Petrol,BS6,1197.0,7,1,26.0,89.0,0
KA-22-EE-2652,2023-03-08,2023,Karnataka,Belgaum (KA-22),4W,SUV,Kia,EV,Not Applicable,0.0,7,1,25.89,89.29,0
TS-01-FE-2669,2023-12-18,2023,Telangana,Karimnagar (TS-01),4W,SUV,Tata Motors,EV,Not Applicable,0.0,5,1,25.47,92.45,0
MP-20-GE-2686,2020-06-23,2020,Madhya Pradesh,Jabalpur (MP-20),3W,Auto Rickshaw,TVS,CNG,BS6,225.0,4,4,79.31,89.66,0
DL-02-HE-2703,2023-09-27,2023,Delhi,Delhi East (DL-02),2W,Scooter,Honda,EV,Not Applicable,0.0,2,1,39.39,90.3,0
MP-07-IE-2720,2021-04-03,2021,Madhya Pradesh,Gwalior (MP-07),LCV,Light Bus,Mahindra,CNG,BS6,2956.0,15,3,37.5,83.33,0
WB-01-JE-2737,2022-08-18,2022,West Bengal,Kolkata (WB-01),2W,Moped,Bajaj,EV,Not Applicable,0.0,2,2,39.16,92.31,0
TS-03-KE-2754,2023-08-14,2023,Telangana,Warangal (TS-03),2W,Scooter,Bajaj,Petrol,BS6,106.9,2,1,40.8,92.8,0
GJ-03-LE-2771,2023-05-09,2023,Gujarat,Rajkot (GJ-03),3W,E-Rickshaw,Piaggio,EV,Not Applicable,0.0,4,1,89.47,100.0,0
WB-40-ME-2788,2021-03-24,2021,West Bengal,Durgapur (WB-40),4W,Hatchback,Renault,Petrol,BS6,1498.0,5,3,23.66,84.95,0
TS-03-NE-2805,2024-07-31,2024,Telangana,Warangal (TS-03),LCV,Mini Truck,Mahindra,Diesel,BS6,2523.0,2,0,0.0,84.62,0
TS-05-OE-2822,2018-11-29,2018,Telangana,Nizamabad (TS-05),2W,Motorcycle,Yamaha,Petrol,BS4,200.0,2,6,40.8,92.8,0
TN-37-PE-2839,2023-11-13,2023,Tamil Nadu,Coimbatore (TN-37),2W,Scooter,TVS,Petrol,BS6,100.0,2,1,44.68,95.74,0
KA-01-QE-2856,2022-02-26,2022,Karnataka,Bangalore Central (KA-01),2W,Scooter,Ather,EV,Not Applicable,0.0,2,2,49.39,91.46,0
