Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years,is_clean,is_compliant,CFAR,FMI
REG100039,30-07-2024,2024,Karnataka,Karimnagar (TS-01),OTH,Road Roller,TAFE,Diesel,BS6,3760.0,2,0,False,True,41.29032258064516,100.0
REG100040,25-02-2020,2020,Karnataka,Kozhikode (KL-11),4W,MUV,Mahindra,Petrol,BS4,1968.0,5,4,False,False,37.5,83.33333333333334
REG100041,25-04-2023,2023,Karnataka,Howrah (WB-13),2W,Scooter,Yamaha,Petrol,BS6,100.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100042,18-09-2021,2021,Karnataka,Indore (MP-09),2W,Scooter,Honda,Hybrid,BS6,250.0,2,3,True,True,32.88590604026846,94.63087248322147
REG100043,20-01-2020,2020,Karnataka,Ujjain (MP-13),2W,Motorcycle,Honda,Petrol,BS6,110.0,2,4,False,True,37.5,83.33333333333334
REG100044,16-07-2024,2024,Karnataka,Jalandhar (PB-08),2W,Scooter,Suzuki,EV,BS6,0.0,2,0,True,True,41.29032258064516,100.0
REG100045,17-12-2024,2024,Karnataka,Delhi West (DL-08),2W,Scooter,Hero,EV,BS6,0.0,2,0,True,True,41.29032258064516,100.0
REG100046,03-06-2021,2021,Karnataka,Udaipur (RJ-27),2W,Moped,Yamaha,EV,BS6,0.0,2,3,True,True,32.88590604026846,94.63087248322147
REG100047,07-12-2019,2019,Karnataka,Rajkot (GJ-03),2W,Moped,Royal Enfield,EV,BS4,0.0,2,5,True,False,31.32530120481928,9.63855421686747
REG100048,27-05-2023,2023,Karnataka,Indore (MP-09),4W,SUV,Honda,CNG,BS6,1462.0,8,1,True,True,37.17948717948718,99.14529914529915
REG100049,31-08-2023,2023,Karnataka,Patiala (PB-11),4W,MUV,MG,Diesel,BS6,1197.0,5,1,False,True,37.17948717948718,99.14529914529915
REG100050,25-04-2020,2020,Karnataka,Gandhinagar (GJ-18),4W,SUV,Hyundai,Hybrid,BS6,1462.0,6,4,True,True,37.5,83.33333333333334
REG100051,19-11-2019,2019,Karnataka,Mumbai Central (MH-01),2W,Scooter,Ola Electric,Hybrid,BS4,150.0,2,5,True,False,31.32530120481928,9.63855421686747
REG100052,24-02-2023,2023,Karnataka,Delhi North (DL-04),3W,Auto Rickshaw,Piaggio,EV,BS6,0.0,3,1,True,True,37.17948717948718,99.14529914529915
REG100053,08-12-2022,2022,Karnataka,Trichy (TN-45),3W,Tempo,Piaggio,CNG,BS6,250.0,6,2,True,True,43.333333333333336,96.66666666666667
REG100054,19-08-2023,2023,Karnataka,Patiala (PB-11),2W,Moped,KTM,Petrol,BS6,160.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100055,27-05-2022,2022,Karnataka,Delhi West (DL-08),4W,MUV,Mahindra,Petrol,BS6,1462.0,7,2,False,True,43.333333333333336,96.66666666666667
REG100056,19-03-2020,2020,Karnataka,Kota (RJ-20),LCV,Mini Truck,Mahindra,Diesel,BS4,2956.0,9,4,False,False,37.5,83.33333333333334
REG100057,18-07-2020,2020,Karnataka,Varanasi (UP-65),2W,Scooter,Suzuki,Petrol,BS6,160.0,2,4,False,True,37.5,83.33333333333334
REG100058,02-06-2018,2018,Karnataka,Thiruvananthapuram (KL-01),LCV,Light Bus,Force Motors,Diesel,BS4,2956.0,12,6,False,False,40.74074074074074,0.0
REG100059,15-01-2021,2021,Karnataka,Khammam (TS-07),4W,Sedan,MG,Petrol,BS6,1968.0,5,3,False,True,32.88590604026846,94.63087248322147
REG100060,31-10-2022,2022,Karnataka,Jabalpur (MP-20),4W,MUV,Tata Motors,CNG,BS6,800.0,5,2,True,True,43.333333333333336,96.66666666666667
REG100061,19-04-2021,2021,Karnataka,Jabalpur (MP-20),2W,Scooter,TVS,Petrol,BS6,350.0,2,3,False,True,32.88590604026846,94.63087248322147
REG100062,09-05-2024,2024,Karnataka,Kota (RJ-20),4W,MUV,Kia,Hybrid,BS6,1000.0,8,0,True,True,41.29032258064516,100.0
REG100063,21-01-2019,2019,Karnataka,Aurangabad (MH-20),2W,Scooter,Bajaj,EV,BS4,0.0,2,5,True,False,31.32530120481928,9.63855421686747
REG100064,28-02-2019,2019,Karnataka,Delhi East (DL-02),LCV,Light Bus,Mahindra,Diesel,BS4,2956.0,12,5,False,False,31.32530120481928,9.63855421686747
REG100065,28-02-2024,2024,Karnataka,Kozhikode (KL-11),4W,Sedan,Skoda,CNG,BS6,1197.0,5,0,True,True,41.29032258064516,100.0
REG100066,22-07-2024,2024,Karnataka,Belgaum (KA-22),2W,Scooter,Ola Electric,CNG,BS6,150.0,2,0,True,True,41.29032258064516,100.0
REG100067,04-11-2023,2023,Karnataka,Belgaum (KA-22),4W,Sedan,Hyundai,EV,BS6,0.0,5,1,True,True,37.17948717948718,99.14529914529915
REG100068,04-08-2023,2023,Karnataka,Ajmer (RJ-01),2W,Scooter,Honda,EV,BS6,0.0,2,1,True,True,37.17948717948718,99.14529914529915
REG100069,25-09-2022,2022,Karnataka,Mangalore (KA-19),HCV,Tanker,MAN,Diesel,BS6,5660.0,2,2,False,True,43.333333333333336,96.66666666666667
REG100070,14-02-2021,2021,Karnataka,Karimnagar (TS-01),3W,Tempo,Atul Auto,CNG,BS6,250.0,6,3,True,True,32.88590604026846,94.63087248322147
REG100071,04-04-2022,2022,Karnataka,Delhi North (DL-04),4W,MUV,Toyota,Petrol,BS6,2179.0,6,2,False,True,43.333333333333336,96.66666666666667
REG100072,13-02-2018,2018,Karnataka,Kota (RJ-20),2W,Moped,Royal Enfield,EV,BS4,0.0,2,6,True,False,40.74074074074074,0.0
REG100073,18-08-2023,2023,Karnataka,Thrissur (KL-08),3W,Auto Rickshaw,Kinetic Green,Diesel,BS6,200.0,3,1,False,True,37.17948717948718,99.14529914529915
REG100074,11-10-2022,2022,Karnataka,Surat (GJ-05),2W,Motorcycle,Royal Enfield,EV,BS6,0.0,2,2,True,True,43.333333333333336,96.66666666666667
REG100075,06-06-2023,2023,Karnataka,Udaipur (RJ-27),OTH,Road Roller,John Deere,Diesel,BS6,5660.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100076,21-04-2023,2023,Karnataka,Mysore (KA-09),2W,Moped,Ather,Hybrid,BS6,350.0,2,1,True,True,37.17948717948718,99.14529914529915
REG100077,31-05-2024,2024,Karnataka,Gandhinagar (GJ-18),OTH,Road Roller,Escorts,Diesel,BS6,4998.0,2,0,False,True,41.29032258064516,100.0
REG100078,11-10-2018,2018,Karnataka,Madurai (TN-58),2W,Moped,TVS,Petrol,BS4,160.0,2,6,False,False,40.74074074074074,0.0
REG100079,03-09-2022,2022,Karnataka,Kochi (KL-07),4W,MUV,Hyundai,Petrol,BS6,2179.0,7,2,False,True,43.333333333333336,96.66666666666667
REG100080,23-10-2021,2021,Karnataka,Chennai Central (TN-01),2W,Scooter,Honda,Petrol,BS6,100.0,2,3,False,True,32.88590604026846,94.63087248322147
REG100081,02-08-2019,2019,Karnataka,Coimbatore (TN-37),4W,SUV,Hyundai,Petrol,BS6,1462.0,8,5,False,True,31.32530120481928,9.63855421686747
REG100082,09-11-2022,2022,Karnataka,Siliguri (WB-73),2W,Moped,Suzuki,Petrol,BS6,110.0,2,2,False,True,43.333333333333336,96.66666666666667
REG100083,21-03-2020,2020,Karnataka,Delhi East (DL-02),2W,Motorcycle,TVS,Petrol,BS6,100.0,2,4,False,True,37.5,83.33333333333334
REG100084,24-05-2020,2020,Karnataka,Varanasi (UP-65),4W,MUV,Kia,Petrol,BS4,2179.0,5,4,False,False,37.5,83.33333333333334
REG100085,18-03-2022,2022,Karnataka,Indore (MP-09),HCV,Bus,BharatBenz,Diesel,BS6,5660.0,32,2,False,True,43.333333333333336,96.66666666666667
REG100086,13-08-2023,2023,Karnataka,Bangalore Central (KA-01),2W,Scooter,Ola Electric,Hybrid,BS6,110.0,2,1,True,True,37.17948717948718,99.14529914529915
REG100087,03-11-2022,2022,Karnataka,Durgapur (WB-40),4W,SUV,Renault,Diesel,BS6,800.0,8,2,False,True,43.333333333333336,96.66666666666667
REG100088,27-10-2024,2024,Karnataka,Kozhikode (KL-11),4W,Hatchback,Hyundai,Petrol,BS6,800.0,5,0,False,True,41.29032258064516,100.0
REG100089,03-04-2023,2023,Karnataka,Chandigarh (CH-01),4W,Sedan,MG,Diesel,BS6,1968.0,5,1,False,True,37.17948717948718,99.14529914529915
REG100090,18-06-2019,2019,Karnataka,Mangalore (KA-19),2W,Scooter,Yamaha,CNG,BS4,250.0,2,5,True,False,31.32530120481928,9.63855421686747
REG100091,10-05-2022,2022,Karnataka,Thrissur (KL-08),2W,Scooter,Ather,Petrol,BS6,200.0,2,2,False,True,43.333333333333336,96.66666666666667
REG100092,23-09-2021,2021,Karnataka,Mangalore (KA-19),LCV,Mini Truck,Eicher,Diesel,BS6,3298.0,9,3,False,True,32.88590604026846,94.63087248322147
REG100093,13-08-2019,2019,Karnataka,Siliguri (WB-73),4W,Sedan,Kia,CNG,BS4,2179.0,5,5,True,False,31.32530120481928,9.63855421686747
REG100094,17-02-2018,2018,Karnataka,Aurangabad (MH-20),4W,Sedan,Kia,CNG,BS4,1462.0,5,6,True,False,40.74074074074074,0.0
REG100095,20-05-2021,2021,Karnataka,Kolkata (WB-01),4W,Sedan,MG,EV,BS6,0.0,5,3,True,True,32.88590604026846,94.63087248322147
REG100096,10-03-2024,2024,Karnataka,Howrah (WB-13),3W,Auto Rickshaw,Mahindra,CNG,BS6,200.0,6,0,True,True,41.29032258064516,100.0
REG100097,24-10-2023,2023,Karnataka,Agra (UP-80),HCV,Trailer,Tata Motors,Diesel,BS6,6700.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100098,14-06-2022,2022,Karnataka,Asansol (WB-39),3W,E-Rickshaw,Atul Auto,Petrol,BS6,225.0,3,2,False,True,43.333333333333336,96.66666666666667
REG100099,15-07-2023,2023,Karnataka,Delhi South (DL-09),2W,Scooter,Hero,Petrol,BS6,250.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100100,21-02-2024,2024,Karnataka,Indore (MP-09),3W,Auto Rickshaw,Piaggio,Diesel,BS6,225.0,3,0,False,True,41.29032258064516,100.0
REG100101,28-08-2024,2024,Karnataka,Karimnagar (TS-01),2W,Motorcycle,Suzuki,EV,BS6,0.0,2,0,True,True,41.29032258064516,100.0
REG100102,11-06-2024,2024,Karnataka,Ajmer (RJ-01),4W,Hatchback,Toyota,EV,BS6,0.0,5,0,True,True,41.29032258064516,100.0
REG100103,20-02-2023,2023,Karnataka,Chandigarh (CH-01),2W,Moped,Royal Enfield,Petrol,BS6,110.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100104,03-07-2023,2023,Karnataka,Howrah (WB-13),4W,Hatchback,Maruti Suzuki,Diesel,BS6,1598.0,5,1,False,True,37.17948717948718,99.14529914529915
REG100105,14-11-2019,2019,Karnataka,Coimbatore (TN-37),4W,Sedan,Tata Motors,Petrol,BS4,1462.0,5,5,False,False,31.32530120481928,9.63855421686747
REG100106,26-08-2020,2020,Karnataka,Ludhiana (PB-10),2W,Moped,Royal Enfield,EV,BS6,0.0,2,4,True,True,37.5,83.33333333333334
REG100107,20-12-2021,2021,Karnataka,Ujjain (MP-13),2W,Scooter,Yamaha,EV,BS6,0.0,2,3,True,True,32.88590604026846,94.63087248322147
REG100108,02-07-2020,2020,Karnataka,Durgapur (WB-40),2W,Scooter,KTM,Petrol,BS6,160.0,2,4,False,True,37.5,83.33333333333334
REG100109,26-01-2018,2018,Karnataka,Vadodara (GJ-06),2W,Moped,Suzuki,Petrol,BS4,160.0,2,6,False,False,40.74074074074074,0.0
REG100110,22-11-2023,2023,Karnataka,Thrissur (KL-08),LCV,Pickup Van,Mahindra,CNG,BS6,2956.0,9,1,True,True,37.17948717948718,99.14529914529915
REG100111,09-03-2018,2018,Karnataka,Surat (GJ-05),4W,Hatchback,Kia,Diesel,BS4,1000.0,5,6,False,False,40.74074074074074,0.0
REG100112,26-03-2022,2022,Karnataka,Udaipur (RJ-27),2W,Motorcycle,Ather,Petrol,BS6,160.0,2,2,False,True,43.333333333333336,96.66666666666667
REG100113,25-04-2024,2024,Karnataka,Durgapur (WB-40),4W,SUV,Hyundai,Diesel,BS6,1968.0,7,0,False,True,41.29032258064516,100.0
REG100114,11-12-2021,2021,Karnataka,Mangalore (KA-19),2W,Moped,Honda,EV,BS4,0.0,2,3,True,False,32.88590604026846,94.63087248322147
REG100115,13-11-2020,2020,Karnataka,Jalandhar (PB-08),4W,SUV,Hyundai,EV,BS6,0.0,7,4,True,True,37.5,83.33333333333334
REG100116,24-01-2021,2021,Karnataka,Ludhiana (PB-10),4W,MUV,Kia,EV,BS6,0.0,7,3,True,True,32.88590604026846,94.63087248322147
REG100117,23-12-2022,2022,Karnataka,Kolkata (WB-01),2W,Moped,TVS,Petrol,BS6,400.0,2,2,False,True,43.333333333333336,96.66666666666667
REG100118,12-11-2019,2019,Karnataka,Allahabad (UP-70),4W,Sedan,Honda,EV,BS4,0.0,5,5,True,False,31.32530120481928,9.63855421686747
REG100119,08-07-2019,2019,Karnataka,Nagpur (MH-31),2W,Scooter,Bajaj,Petrol,BS4,400.0,2,5,False,False,31.32530120481928,9.63855421686747
REG100120,16-02-2024,2024,Karnataka,Gwalior (MP-07),2W,Scooter,Bajaj,Petrol,BS6,150.0,2,0,False,True,41.29032258064516,100.0
REG100121,15-04-2024,2024,Karnataka,Ujjain (MP-13),OTH,Tractor,John Deere,Diesel,BS6,3760.0,1,0,False,True,41.29032258064516,100.0
REG100122,02-01-2020,2020,Karnataka,Delhi South (DL-09),2W,Motorcycle,Yamaha,Hybrid,BS6,160.0,2,4,True,True,37.5,83.33333333333334
REG100123,08-01-2024,2024,Karnataka,Coimbatore (TN-37),4W,Sedan,Hyundai,EV,BS6,0.0,5,0,True,True,41.29032258064516,100.0
REG100124,28-02-2023,2023,Karnataka,Amritsar (PB-02),2W,Scooter,Hero,Petrol,BS6,110.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100125,23-01-2020,2020,Karnataka,Siliguri (WB-73),4W,Hatchback,MG,Diesel,BS6,1498.0,5,4,False,True,37.5,83.33333333333334
REG100126,31-12-2023,2023,Karnataka,Kolkata (WB-01),2W,Scooter,Suzuki,Petrol,BS6,350.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100127,27-10-2021,2021,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Honda,Petrol,BS6,400.0,2,3,False,True,32.88590604026846,94.63087248322147
REG100128,09-08-2022,2022,Karnataka,Kozhikode (KL-11),2W,Moped,Ather,Petrol,BS6,110.0,2,2,False,True,43.333333333333336,96.66666666666667
REG100129,19-08-2024,2024,Karnataka,Thiruvananthapuram (KL-01),LCV,Light Bus,Eicher,EV,BS6,0.0,12,0,True,True,41.29032258064516,100.0
REG100130,11-05-2022,2022,Karnataka,Udaipur (RJ-27),2W,Moped,Honda,Petrol,BS6,200.0,2,2,False,True,43.333333333333336,96.66666666666667
REG100131,10-07-2019,2019,Karnataka,Salem (TN-30),2W,Motorcycle,Honda,EV,BS6,0.0,2,5,True,True,31.32530120481928,9.63855421686747
REG100132,05-08-2021,2021,Karnataka,Hyderabad (TS-09),4W,SUV,Hyundai,Diesel,BS6,800.0,7,3,False,True,32.88590604026846,94.63087248322147
REG100133,24-04-2020,2020,Karnataka,Amritsar (PB-02),2W,Moped,Ather,Petrol,BS6,110.0,2,4,False,True,37.5,83.33333333333334
REG100134,15-11-2023,2023,Karnataka,Ajmer (RJ-01),2W,Scooter,Ola Electric,Petrol,BS6,160.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100135,07-06-2020,2020,Karnataka,Ujjain (MP-13),2W,Moped,Royal Enfield,Petrol,BS4,200.0,2,4,False,False,37.5,83.33333333333334
REG100136,21-11-2021,2021,Karnataka,Jaipur (RJ-14),2W,Motorcycle,Ola Electric,EV,BS6,0.0,2,3,True,True,32.88590604026846,94.63087248322147
REG100137,15-06-2020,2020,Karnataka,Belgaum (KA-22),2W,Scooter,KTM,Petrol,BS6,160.0,2,4,False,True,37.5,83.33333333333334
REG100138,11-02-2022,2022,Karnataka,Chandigarh (CH-01),LCV,Mini Truck,Mahindra,EV,BS6,0.0,9,2,True,True,43.333333333333336,96.66666666666667
REG100139,28-02-2020,2020,Karnataka,Jabalpur (MP-20),3W,E-Rickshaw,Mahindra,CNG,BS6,250.0,3,4,True,True,37.5,83.33333333333334
REG100140,22-07-2021,2021,Karnataka,Hubli (KA-25),4W,MUV,Renault,EV,BS6,0.0,5,3,True,True,32.88590604026846,94.63087248322147
REG100141,12-09-2021,2021,Karnataka,Delhi West (DL-08),HCV,Bus,Volvo,Diesel,BS6,6700.0,32,3,False,True,32.88590604026846,94.63087248322147
REG100142,06-02-2023,2023,Karnataka,Salem (TN-30),4W,Sedan,Renault,CNG,BS6,1968.0,5,1,True,True,37.17948717948718,99.14529914529915
REG100143,30-12-2022,2022,Karnataka,Lucknow (UP-32),3W,Auto Rickshaw,TVS,EV,BS6,0.0,6,2,True,True,43.333333333333336,96.66666666666667
REG100144,05-07-2022,2022,Karnataka,Mangalore (KA-19),2W,Scooter,TVS,EV,BS6,0.0,2,2,True,True,43.333333333333336,96.66666666666667
REG100145,23-06-2019,2019,Karnataka,Lucknow (UP-32),2W,Moped,Suzuki,EV,BS4,0.0,2,5,True,False,31.32530120481928,9.63855421686747
REG100146,28-06-2022,2022,Karnataka,Jodhpur (RJ-19),2W,Moped,Honda,EV,BS4,0.0,2,2,True,False,43.333333333333336,96.66666666666667
REG100147,01-12-2020,2020,Karnataka,Kochi (KL-07),2W,Motorcycle,Royal Enfield,Petrol,BS6,110.0,2,4,False,True,37.5,83.33333333333334
REG100148,26-11-2023,2023,Karnataka,Salem (TN-30),3W,Tempo,Atul Auto,Diesel,BS6,250.0,7,1,False,True,37.17948717948718,99.14529914529915
REG100149,30-10-2021,2021,Karnataka,Jodhpur (RJ-19),2W,Scooter,KTM,EV,BS6,0.0,2,3,True,True,32.88590604026846,94.63087248322147
REG100150,09-02-2018,2018,Karnataka,Ajmer (RJ-01),2W,Scooter,KTM,Petrol,BS4,110.0,2,6,False,False,40.74074074074074,0.0
REG100151,22-01-2024,2024,Karnataka,Patiala (PB-11),3W,E-Rickshaw,Atul Auto,EV,BS6,0.0,3,0,True,True,41.29032258064516,100.0
REG100152,22-02-2024,2024,Karnataka,Indore (MP-09),2W,Scooter,Ather,Petrol,BS6,200.0,2,0,False,True,41.29032258064516,100.0
REG100153,26-09-2023,2023,Karnataka,Thiruvananthapuram (KL-01),3W,Auto Rickshaw,Bajaj,CNG,BS6,225.0,6,1,True,True,37.17948717948718,99.14529914529915
REG100154,21-06-2023,2023,Karnataka,Kota (RJ-20),2W,Scooter,Ola Electric,Petrol,BS6,110.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100155,05-11-2023,2023,Karnataka,Jaipur (RJ-14),4W,MUV,Kia,Petrol,BS6,1197.0,7,1,False,True,37.17948717948718,99.14529914529915
REG100156,08-03-2023,2023,Karnataka,Belgaum (KA-22),4W,SUV,Kia,EV,BS6,0.0,7,1,True,True,37.17948717948718,99.14529914529915
REG100157,17-12-2023,2023,Karnataka,Karimnagar (TS-01),4W,SUV,Tata Motors,EV,BS6,0.0,5,1,True,True,37.17948717948718,99.14529914529915
REG100158,23-06-2020,2020,Karnataka,Jabalpur (MP-20),3W,Auto Rickshaw,TVS,CNG,BS6,225.0,3,4,True,True,37.5,83.33333333333334
REG100159,27-09-2023,2023,Karnataka,Delhi East (DL-02),2W,Scooter,Honda,EV,BS6,0.0,2,1,True,True,37.17948717948718,99.14529914529915
REG100160,03-04-2021,2021,Karnataka,Gwalior (MP-07),LCV,Light Bus,Mahindra,CNG,BS6,2956.0,15,3,True,True,32.88590604026846,94.63087248322147
REG100161,18-08-2022,2022,Karnataka,Kolkata (WB-01),2W,Moped,Bajaj,EV,BS6,0.0,2,2,True,True,43.333333333333336,96.66666666666667
REG100162,14-08-2023,2023,Karnataka,Warangal (TS-03),2W,Scooter,Bajaj,Petrol,BS6,350.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100163,09-05-2023,2023,Karnataka,Rajkot (GJ-03),3W,E-Rickshaw,Piaggio,CNG,BS6,200.0,3,1,True,True,37.17948717948718,99.14529914529915
REG100164,24-03-2021,2021,Karnataka,Durgapur (WB-40),4W,Hatchback,Renault,Petrol,BS4,1498.0,5,3,False,False,32.88590604026846,94.63087248322147
REG100165,31-07-2024,2024,Karnataka,Warangal (TS-03),LCV,Mini Truck,Mahindra,Diesel,BS6,2523.0,9,0,False,True,41.29032258064516,100.0
REG100166,29-11-2018,2018,Karnataka,Nizamabad (TS-05),2W,Motorcycle,Yamaha,Petrol,BS4,200.0,2,6,False,False,40.74074074074074,0.0
REG100167,12-11-2023,2023,Karnataka,Coimbatore (TN-37),2W,Scooter,TVS,Hybrid,BS6,100.0,2,1,True,True,37.17948717948718,99.14529914529915
REG100168,26-02-2022,2022,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,Ather,CNG,BS6,160.0,2,2,True,True,43.333333333333336,96.66666666666667
